Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Burglary: England, South West, Devon, Cornwall, Cornwall, North Cornwall, Torridge and West Devon, Torridge District, EX227ED, Y52Q39, Tamarside, On or near Tackbear Road
Vehicle crime: England, South West, Devon, Cornwall, Cornwall, North Cornwall, Torridge and West Devon, Torridge District, EX227EU, Y52Q39, Tamarside, On or near The Green
Violence and sexual offences: England, South West, Devon, Cornwall, Cornwall, North Cornwall, Torridge and West Devon, Torridge District, EX227ED, Y52Q39, Tamarside, On or near Tackbear Road
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX395XZ, Y52Q39, Waldon, On or near Ashtons Cottage
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX227UP, Y52Q39, Waldon, On or near Park/Open Space
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX226QW, Y52Q39, Broadheath, On or near Park/Open Space
Public order: England, South West, Devon, Torridge and West Devon, Torridge District, EX226QJ, Y52Q39, Broadheath, On or near Claw Park
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX215JS, Y52Q39, Coham Bridge, On or near Park/Open Space
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX215PT, Y52Q39, Coham Bridge, On or near Broad Street
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX227AW, Y52Q39, Coham Bridge, On or near Bason Cross
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, West Devon District, Central Devon, EX215NG, Y52Q39, Coham Bridge, On or near West Road
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX215JS, Y52Q39, Coham Bridge, On or near Park/Open Space
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX227AW, Y52Q39, Coham Bridge, On or near Bason Cross
Criminal damage and arson: England, South West, Devon, Torridge and West Devon, Torridge District, EX227AW, Y52Q39, Coham Bridge, On or near Bason Cross
Other theft: England, South West, Devon, Torridge and West Devon, Torridge District, EX215JR, Y52Q39, Coham Bridge, On or near Park/Open Space
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX215JL, Y52Q39, Coham Bridge, On or near A3072
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, EX227AW, Y52Q39, Coham Bridge, On or near Bason Cross
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX215UD, Y52Q39, Forest, On or near Holywell Park
Anti-social behaviour: England, South West, Devon, Torridge and West Devon, Torridge District, EX215UD, Y52Q39, Forest, On or near Holywell Park
Violence and sexual offences: England, South West, Devon, Torridge and West Devon, Torridge District, West Devon District, Central Devon, EX215WF, Y52Q39, Forest, On or near Sports/Recreation Area
Other crime: England, South West, Devon, Torridge and West Devon, Torridge District, EX215DA, Y52Q39, Forest, On or near Park/Open Space
Anti-social behaviour: England, London, Wandsworth London Boro, Wandsworth, Battersea, Tooting, SW116DB, Y53Q36, Northcote, On or near Belleville Road
Criminal damage and arson: England, South West, Devon, West Devon District, Central Devon, EX203RX, Y52Q39, Exbourne, On or near Blenheim Lane
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203HA, Y52Q39, Hatherleigh, On or near Hole Court
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203HA, Y52Q39, Hatherleigh, On or near Hole Court
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203SN, Y52Q39, Hatherleigh, On or near Pearse Close
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203HA, Y52Q39, Hatherleigh, On or near Hole Court
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203JY, Y52Q39, Hatherleigh, On or near Market Street
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203LW, Y52Q39, Hatherleigh, On or near B3216
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203LW, Y52Q39, Hatherleigh, On or near B3216
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203GB, Y52Q39, Hatherleigh, On or near Martins Close
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203SN, Y52Q39, Hatherleigh, On or near Pearse Close
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX203HA, Y52Q39, Hatherleigh, On or near Hole Court
Burglary: England, South West, Devon, West Devon District, Central Devon, EX203HA, Y52Q39, Hatherleigh, On or near Hole Court
Criminal damage and arson: England, South West, Devon, West Devon District, Central Devon, EX203DB, Y52Q39, Hatherleigh, On or near Bridge Street
Criminal damage and arson: England, South West, Devon, West Devon District, Central Devon, EX203LW, Y52Q39, Hatherleigh, On or near B3216
Other theft: England, South West, Devon, West Devon District, Central Devon, EX203JS, Y52Q39, Hatherleigh, On or near Park Road
Public order: England, South West, Devon, West Devon District, Central Devon, EX203GB, Y52Q39, Hatherleigh, On or near Martins Close
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX203LA, Y52Q39, Hatherleigh, On or near Moor View
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX203HA, Y52Q39, Hatherleigh, On or near Buddle Lane
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201FP, Y52Q39, Lew Valley, On or near Sterlings Way
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201UE, Y52Q39, Lew Valley, On or near Cranmere Road
Burglary: England, South West, Devon, West Devon District, Central Devon, EX201UF, Y52Q39, Lew Valley, On or near Galbraith Road
Burglary: England, South West, Devon, West Devon District, Central Devon, EX203NQ, Y52Q39, Lew Valley, On or near Kimberlands
Criminal damage and arson: England, South West, Devon, West Devon District, Central Devon, EX201UE, Y52Q39, Lew Valley, On or near Cranmere Road
Other theft: England, South West, Devon, West Devon District, Central Devon, EX203NE, Y52Q39, Lew Valley, On or near Lake Lane
Vehicle crime: England, South West, Devon, West Devon District, Central Devon, EX203AA, Y52Q39, Lew Valley, On or near Sports/Recreation Area
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX203NQ, Y52Q39, Lew Valley, On or near Kimberlands
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201RJ, Y52Q39, Lew Valley, On or near Brightley Road
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201FP, Y52Q39, Lew Valley, On or near Sterlings Way
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX202AZ, Y52Q39, North Tawton, On or near Richina Drive
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201UZ, Y52Q39, Okehampton East, On or near The Copse
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201TZ, Y52Q39, Okehampton East, On or near Quarry Fields
Criminal damage and arson: England, South West, Devon, West Devon District, Central Devon, EX201UG, Y52Q39, Okehampton East, On or near Exeter Road
Criminal damage and arson: England, South West, Devon, West Devon District, Central Devon, EX201LZ, Y52Q39, Okehampton East, On or near Barton Close
Other theft: England, South West, Devon, West Devon District, Central Devon, EX201UG, Y52Q39, Okehampton East, On or near Stannary Court
Other theft: England, South West, Devon, West Devon District, Central Devon, EX201NU, Y52Q39, Okehampton East, On or near Leaholes Avenue
Possession of weapons: England, South West, Devon, West Devon District, Central Devon, EX201SZ, Y52Q39, Okehampton East, On or near Saddlers Way
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201UG, Y52Q39, Okehampton East, On or near Stannary Court
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201PD, Y52Q39, Okehampton East, On or near Crediton Road
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201PD, Y52Q39, Okehampton East, On or near Crediton Road
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201TZ, Y52Q39, Okehampton East, On or near Berryball Close
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201PD, Y52Q39, Okehampton East, On or near Crediton Road
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201SZ, Y52Q39, Okehampton East, On or near Saddlers Way
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201PD, Y52Q39, Okehampton East, On or near Crediton Road
Violence and sexual offences: England, South West, Devon, West Devon District, Central Devon, EX201NT, Y52Q39, Okehampton East, On or near Balmoral Crescent
Other crime: England, South West, Devon, West Devon District, Central Devon, EX201NX, Y52Q39, Okehampton East, On or near Limehayes Road
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201TA, Y52Q39, Okehampton East, On or near Giblands Park
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201QS, Y52Q39, Okehampton East, On or near Ockington Close
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201BJ, Y52Q39, Okehampton East, On or near North Road
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201TA, Y52Q39, Okehampton East, On or near Giblands Park
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201QS, Y52Q39, Okehampton East, On or near Ockington Close
Anti-social behaviour: England, South West, Devon, West Devon District, Central Devon, EX201LX, Y52Q39, Okehampton East, On or near Wonnacott'S Road
Criminal damage and arson: England, South West, Devon, West Devon District, Central Devon, EX201PR, Y52Q39, Okehampton East, On or near Courtenay Road
Other theft: England, South West, Devon, West Devon District, Central Devon, EX201BS, Y52Q39, Okehampton West, On or near Beare Bridge Road
Public order: England, South West, Devon, West Devon District, Central Devon, EX201NN, Y52Q39, Okehampton East, On or near Laburnum Way
Public order: England, South West, Devon, West Devon District, Central Devon, EX201TA, Y52Q39, Okehampton East, On or near Giblands Park
