Vehicle crime: England, East Midlands, Nottinghamshire, Yorkshire and the Humber, Bassetlaw District, Bassetlaw, Brigg and Goole, North Lincolnshire, North Lincolnshire, DN9 2EP, Y51Q33, Everton, On or near Tindale Bank Road
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, East Yorkshire, YO151HF, Y51Q32, Bridlington Central and Old Town, On or near Clarke Crescent
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EL, Y51Q32, West Marsh, On or near Shopping Area
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311JU, Y51Q32, West Marsh, On or near Parking Area
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EE, Y51Q32, West Marsh, On or near Shopping Area
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311XG, Y51Q32, West Marsh, On or near Davison'S Avenue
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311RT, Y51Q32, West Marsh, On or near Parking Area
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311RT, Y51Q32, West Marsh, On or near Parking Area
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311RT, Y51Q32, West Marsh, On or near Parking Area
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Wellowgate
Anti-social behaviour: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Wellowgate
Bicycle theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Bicycle theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311AA, Y51Q32, West Marsh, On or near Dial Square
Bicycle theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Bicycle theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311UJ, Y51Q32, West Marsh, On or near Petrol Station
Bicycle theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311AA, Y51Q32, West Marsh, On or near Dial Square
Bicycle theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311RT, Y51Q32, West Marsh, On or near Parking Area
Bicycle theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311RT, Y51Q32, West Marsh, On or near Parking Area
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311UH, Y51Q32, West Marsh, On or near Rendel Street
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312HU, Y51Q32, West Marsh, On or near Haycroft Avenue
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311SG, Y51Q32, West Marsh, On or near Corporation Bridge
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311SJ, Y51Q32, West Marsh, On or near Annesley Street
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311DA, Y51Q32, West Marsh, On or near George Street
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311QX, Y51Q32, West Marsh, On or near West St Mary'S Gate
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311DA, Y51Q32, West Marsh, On or near George Street
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311BJ, Y51Q32, West Marsh, On or near Fotherby Street
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EL, Y51Q32, West Marsh, On or near Shopping Area
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EL, Y51Q32, West Marsh, On or near Shopping Area
Burglary: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311DW, Y51Q32, West Marsh, On or near East St Mary'S Gate
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312HZ, Y51Q32, West Marsh, On or near Haycroft Street
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312EX, Y51Q32, West Marsh, On or near Chantry Close
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311FB, Y51Q32, West Marsh, On or near Parking Area
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312EU, Y51Q32, West Marsh, On or near Hume Street
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311PH, Y51Q32, West Marsh, On or near Lower Spring Street
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312EF, Y51Q32, West Marsh, On or near Bramble Close
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312NA, Y51Q32, West Marsh, On or near Parking Area
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311QX, Y51Q32, West Marsh, On or near West St Mary'S Gate
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EE, Y51Q32, West Marsh, On or near Shopping Area
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311QX, Y51Q32, West Marsh, On or near West St Mary'S Gate
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312EX, Y51Q32, West Marsh, On or near Chantry Close
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311JZ, Y51Q32, West Marsh, On or near Garden Street
Criminal damage and arson: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311XX, Y51Q32, West Marsh, On or near Frederick Street
Drugs: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311XG, Y51Q32, West Marsh, On or near Davison'S Avenue
Drugs: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Drugs: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312HX, Y51Q32, West Marsh, On or near Bemrose Way
Drugs: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Drugs: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311PH, Y51Q32, West Marsh, On or near Lower Spring Street
Drugs: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312EU, Y51Q32, West Marsh, On or near Hume Street
Drugs: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311PH, Y51Q32, West Marsh, On or near Lower Spring Street
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312DX, Y51Q32, West Marsh, On or near Mandela Link
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Wellowgate
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311HN, Y51Q32, West Marsh, On or near East Street
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Wellowgate
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311QX, Y51Q32, West Marsh, On or near West St Mary'S Gate
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311UJ, Y51Q32, West Marsh, On or near Shopping Area
Other theft: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311JZ, Y51Q32, West Marsh, On or near Garden Street
Possession of weapons: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311AA, Y51Q32, West Marsh, On or near Victoria Street West
Possession of weapons: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Possession of weapons: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EE, Y51Q32, West Marsh, On or near Shopping Area
Possession of weapons: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311DW, Y51Q32, West Marsh, On or near East St Mary'S Gate
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311AA, Y51Q32, West Marsh, On or near Dial Square
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311QX, Y51Q32, West Marsh, On or near West St Mary'S Gate
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311BJ, Y51Q32, West Marsh, On or near Fotherby Street
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Bethlehem Street
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311AA, Y51Q32, West Marsh, On or near Victoria Street West
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EP, Y51Q32, West Marsh, On or near Wellowgate
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311AA, Y51Q32, West Marsh, On or near Victoria Street West
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311NS, Y51Q32, West Marsh, On or near Parking Area
Public order: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EL, Y51Q32, West Marsh, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311EE, Y51Q32, West Marsh, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN312EX, Y51Q32, West Marsh, On or near Chantry Close
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311BJ, Y51Q32, West Marsh, On or near Cressey Street
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311TT, Y51Q32, West Marsh, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311PH, Y51Q32, West Marsh, On or near Lower Spring Street
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311TT, Y51Q32, West Marsh, On or near Shopping Area
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311UJ, Y51Q32, West Marsh, On or near Petrol Station
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311RS, Y51Q32, West Marsh, On or near Parking Area
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311UJ, Y51Q32, West Marsh, On or near Petrol Station
Shoplifting: England, Yorkshire and the Humber, North East Lincolnshire, North East Lincolnshire, Great Grimsby, DN311BJ, Y51Q32, West Marsh, On or near Fotherby Street
