Theft from the person: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Shipley, BD163LS, Y51Q32, Bingley, On or near The Gardens
Burglary: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126NP, Y51Q32, Newby, On or near Oxcliff
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126HA, Y51Q32, Woodlands, On or near Colescliffe Crescent
Drugs: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126HA, Y51Q32, Woodlands, On or near Colescliffe Crescent
Other theft: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126HA, Y51Q32, Woodlands, On or near Colescliffe Road
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126NL, Y51Q32, Newby, On or near Ash Grove
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126SA, Y51Q32, Woodlands, On or near St Leonard'S Crescent
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126NP, Y51Q32, Newby, On or near Bracken Hill
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126NP, Y51Q32, Newby, On or near Bracken Hill
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126NP, Y51Q32, Newby, On or near Bracken Hill
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO126HA, Y51Q32, Woodlands, On or near Colescliffe Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SF, Y51Q32, Central, On or near Melrose Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BP, Y51Q32, Central, On or near Barwick Terrace
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127RW, Y51Q32, Central, On or near Cleveland Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127LF, Y51Q32, Central, On or near Raleigh Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BQ, Y51Q32, Central, On or near Hospital
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127JX, Y51Q32, Central, On or near Prospect Road
Bicycle theft: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BQ, Y51Q32, Central, On or near Hospital
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127JX, Y51Q32, Central, On or near Prospect Road
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BP, Y51Q32, Central, On or near Barwick Terrace
Public order: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127JU, Y51Q32, Central, On or near Murchison Place
Vehicle crime: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127LL, Y51Q32, Northstead, On or near Livingstone Road
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127LQ, Y51Q32, Northstead, On or near Franklin Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127LF, Y51Q32, Central, On or near Raleigh Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BP, Y51Q32, Central, On or near Barwick Terrace
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127JU, Y51Q32, Central, On or near Murchison Place
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127JX, Y51Q32, Central, On or near Prospect Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DH, Y51Q32, Central, On or near Candler Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DS, Y51Q32, Central, On or near Gladstone Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DH, Y51Q32, Central, On or near Candler Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DH, Y51Q32, Central, On or near Candler Street
Other theft: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DS, Y51Q32, Central, On or near Gladstone Road
Other theft: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DH, Y51Q32, Central, On or near Candler Street
Other theft: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DH, Y51Q32, Central, On or near Candler Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DH, Y51Q32, Central, On or near Candler Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127RY, Y51Q32, Stepney, On or near Hibernia Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DL, Y51Q32, Central, On or near Ireton Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DH, Y51Q32, Central, On or near Candler Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DQ, Y51Q32, Central, On or near Brinkburn Road
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DQ, Y51Q32, Central, On or near Brinkburn Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SS, Y51Q32, Central, On or near Clifton Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AQ, Y51Q32, Central, On or near Cambridge Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AQ, Y51Q32, Central, On or near Cambridge Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BU, Y51Q32, Central, On or near Sherwood Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AX, Y51Q32, Central, On or near Vine Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BJ, Y51Q32, Central, On or near Belle Vue Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SY, Y51Q32, Central, On or near Nelson Street
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DZ, Y51Q32, Central, On or near Supermarket
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO125ED, Y51Q32, Central, On or near Falsgrave Road
Anti-social behaviour: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AG, Y51Q32, Central, On or near Northway
Burglary: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO125ED, Y51Q32, Central, On or near Roscoe Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AG, Y51Q32, Central, On or near Northway
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BU, Y51Q32, Central, On or near Sherwood Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BJ, Y51Q32, Central, On or near Norwood Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127ER, Y51Q32, Central, On or near Mill Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SY, Y51Q32, Central, On or near Trafalgar Street West
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SY, Y51Q32, Central, On or near Trafalgar Street West
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AR, Y51Q32, Central, On or near Barwick Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127BJ, Y51Q32, Central, On or near Norwood Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127ER, Y51Q32, Central, On or near Mill Street
Criminal damage and arson: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127ER, Y51Q32, Central, On or near Mill Street
Drugs: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AQ, Y51Q32, Central, On or near Cambridge Street
Drugs: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AX, Y51Q32, Central, On or near Vine Street
Drugs: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AQ, Y51Q32, Central, On or near Cambridge Street
Other theft: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DF, Y51Q32, Central, On or near Hospital
Robbery: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO125EL, Y51Q32, Stepney, On or near Petrol Station
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DZ, Y51Q32, Central, On or near Supermarket
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DZ, Y51Q32, Central, On or near Supermarket
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AQ, Y51Q32, Central, On or near Cambridge Street
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AQ, Y51Q32, Central, On or near Cambridge Street
Shoplifting: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SS, Y51Q32, Central, On or near Clifton Street
Vehicle crime: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AG, Y51Q32, Central, On or near Northway
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SS, Y51Q32, Central, On or near Clifton Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127DZ, Y51Q32, Central, On or near Supermarket
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127ER, Y51Q32, Central, On or near Mill Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SY, Y51Q32, Central, On or near Nelson Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AR, Y51Q32, Central, On or near Barwick Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127SG, Y51Q32, Central, On or near Victoria Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127ER, Y51Q32, Central, On or near Mill Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AR, Y51Q32, Central, On or near Barwick Street
Violence and sexual offences: England, Yorkshire and the Humber, North Yorkshire, Scarborough District, Scarborough and Whitby, YO127AQ, Y51Q32, Central, On or near Cambridge Street
